2019-06-28 17:02:50,939 [Worker-92] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for finalProject
2019-06-28 17:02:50,942 [Worker-92] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-06-28 17:02:53,852 [Worker-94] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-06-28 17:02:53,858 [Worker-94] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2019-06-28 17:02:53,868 [Worker-94] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-06-28 17:02:53,872 [Worker-94] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-06-28 17:03:07,519 [Worker-92] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: kr.co:marryme:1.0.0-BUILD-SNAPSHOT @ D:\weddingProject-workspace\finalProject\pom.xml.
2019-06-28 17:03:07,956 [Worker-92] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-06-28 17:03:07,962 [Worker-92] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-06-28 17:03:07,963 [Worker-92] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-06-28 17:03:07,967 [Worker-92] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-06-28 17:03:07,968 [Worker-92] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of finalProject
2019-06-28 17:03:07,968 [Worker-92] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for finalProject
